,video_link,video_views,upload_date,comments,likes,dislikes
0,https://www.youtube.com/watch?v=vJVK_B-0FqA,13274,2020-06-02T07:45:24Z,43,668,11
1,https://www.youtube.com/watch?v=jR-8qh-0fqA,96,2020-06-02T07:07:09Z,0,4,0
2,https://www.youtube.com/watch?v=4CWYvO-0FqA,126612,2017-02-18T04:00:01Z,79,604,29
3,https://www.youtube.com/watch?v=XsmR-0fqa-g,1240,2019-11-13T06:23:29Z,9,56,0
4,https://www.youtube.com/watch?v=FMUruT-0FqA,34,2020-02-10T20:13:44Z,0,1,0
5,https://www.youtube.com/watch?v=SZol5v-0FQA,36,2020-05-24T18:43:08Z,2,5,0
6,https://www.youtube.com/watch?v=0FQa-wcLbvA,54,2018-06-07T12:21:44Z,0,1,0
7,https://www.youtube.com/watch?v=0Fqa-_amFE0,21,2019-07-30T02:56:21Z,1,4,0
8,https://www.youtube.com/watch?v=0FqA-av0vNg,899,2014-03-13T00:54:39Z,2,16,0
9,https://www.youtube.com/watch?v=0FQa-6eZg44,7,2020-04-29T14:41:39Z,0,1,1
10,https://www.youtube.com/watch?v=xLqcgQ-0FQA,1585,2018-09-29T16:04:09Z,7,44,8
11,https://www.youtube.com/watch?v=0FQa-Yfhjgw,12276,2016-03-08T12:45:33Z,34,301,10
12,https://www.youtube.com/watch?v=hPOZxL-0fqA,10010,2019-01-03T08:00:48Z,4,157,7
13,https://www.youtube.com/watch?v=irHCXo-0fQA,30,2018-12-15T20:44:42Z,0,3,0
14,https://www.youtube.com/watch?v=jB8aZR-0fqA,126,2020-01-31T12:22:22Z,0,7,0
15,https://www.youtube.com/watch?v=aCfEnV-0fQA,16,2017-12-28T00:18:16Z,0,1,0
16,https://www.youtube.com/watch?v=cR2FkV-0fqA,164,2019-03-15T03:52:03Z,0,7,0
17,https://www.youtube.com/watch?v=0Fqa-eYdDTk,105,2019-08-15T05:22:28Z,0,2,0
18,https://www.youtube.com/watch?v=31baN5-0FQA,92362,2014-11-26T20:35:19Z,39,578,15
19,https://www.youtube.com/watch?v=GD9crF-0fqA,200,2020-01-22T05:00:02Z,1,5,1
20,https://www.youtube.com/watch?v=793aL1-0FqA,2,2020-04-20T07:43:27Z,0,0,0
21,https://www.youtube.com/watch?v=vTnrZD-0fqA,8,2019-03-15T00:35:37Z,0,0,0
22,https://www.youtube.com/watch?v=Myb4Q2-0FQA,5341,2017-03-17T22:32:30Z,23,95,2
23,https://www.youtube.com/watch?v=0fqA-KySa0g,35,2014-07-18T12:23:28Z,0,0,0
24,https://www.youtube.com/watch?v=0-fqA-oBUMM,555,2017-01-16T00:05:22Z,0,3,0
25,https://www.youtube.com/watch?v=UJ0A-kqZzsA,2025,2013-03-11T14:08:15Z,1,41,0
26,https://www.youtube.com/watch?v=NY2iFO-UJ0A,13149,2020-04-16T14:56:50Z,0,4,0
27,https://www.youtube.com/watch?v=YIURa4-UJ0A,9,2020-06-21T08:11:27Z,0,5,0
28,https://www.youtube.com/watch?v=uj0A-7Y-miQ,264,2013-08-30T15:33:55Z,0,7,0
29,https://www.youtube.com/watch?v=uJ0a-hcQZW4,204,2019-12-23T17:15:40Z,0,2,0
30,https://www.youtube.com/watch?v=yJEsoE-uJ0A,18,2020-07-14T06:25:59Z,0,2,0
31,https://www.youtube.com/watch?v=JVp98d-uj0A,100,2020-05-02T16:46:28Z,2,21,0
32,https://www.youtube.com/watch?v=UJ0A-UQ-ebY,23,2011-09-11T01:23:28Z,0,1,0
33,https://www.youtube.com/watch?v=1gGB75-Uj0A,1879,2019-10-22T01:40:30Z,6,62,7
34,https://www.youtube.com/watch?v=ZxIIVS-UJ0A,1061,2014-02-04T04:05:25Z,1,20,5
35,https://www.youtube.com/watch?v=Uj0a-MfwUXw,43,2019-04-15T16:43:06Z,0,0,0
36,https://www.youtube.com/watch?v=8burlm-uj0A,642,2017-05-02T08:33:11Z,0,0,0
37,https://www.youtube.com/watch?v=uj0A-cXjeHI,19,2019-11-18T16:00:06Z,1,2,0
